datetime,close,high,low,open,volume
09-01-2018 00:00,271.5,277.55,270.65,277.55,5197857
10-01-2018 00:00,268.8,276.5,266.6,272.8,7472579
11-01-2018 00:00,267.75,271.15,266.8,268.8,6502699
12-01-2018 05:30,268.85,271.6,266.65,269,4435500
15-01-2018 00:00,266.7,274.65,265.8,270.2,6592272
16-01-2018 00:00,260.55,268,259.7,267.8,8447591
17-01-2018 00:00,262.75,265.25,256.45,260.3,11037340
18-01-2018 00:00,253.9,263.7,252.1,263.7,11341249
19-01-2018 00:00,258,259.35,252.2,254,5898314
22-01-2018 00:00,255.1,258.8,251.1,258,6230212
23-01-2018 00:00,264.95,270.7,256.1,256.1,17400430
24-01-2018 00:00,258.7,264.4,256.8,263.55,6409442
25-01-2018 00:00,258.95,266.85,256.4,259.3,15254979
29-01-2018 00:00,258.6,263.9,253.4,261.6,5990929
30-01-2018 00:00,253.55,258,252.55,257.75,5286436
31-01-2018 00:00,256.15,263.2,252,253.4,17514495
